Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.9063,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.9063,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.6094,7.03125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.9609,7.03125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,251.3672,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.5313,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.5313,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.5313,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.5313,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.734375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.382813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.125,7.03125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.0703,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.7734,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,252.7734,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.125,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.125,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,253.125,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.1797,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.2344,6.679688
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,256.2891,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,256.6406,4.921875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,256.2891,4.921875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.9375,4.921875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.5859,4.21875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.515625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.164063
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.164063
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.164063
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.515625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,254.8828,3.515625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.2344,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.2344,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.2344,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.5859,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.5859,4.21875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,255.9375,4.21875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,256.2891,4.570313
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,4.921875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,257.3438,4.921875
PnX | CSGOmall.com,CounterTerrorist,2479.458,2109.599,126.7377,Knife,100,100,-14.94606,-66.14491,0,False,False,True,257.3438,4.921875
PnX | CSGOmall.com,CounterTerrorist,2478.042,2103.369,126.6389,Knife,100,100,-28.17035,-123.4045,0,False,False,True,256.9922,4.921875
PnX | CSGOmall.com,CounterTerrorist,2475.918,2094.102,126.4907,Knife,100,100,-38.07267,-165.7538,0,False,False,True,256.9922,4.921875
PnX | CSGOmall.com,CounterTerrorist,2473.272,2082.596,126.3061,Knife,100,100,-45.31609,-196.958,0,False,False,True,256.9922,5.273438
PnX | CSGOmall.com,CounterTerrorist,2472.893,2069.443,126.2797,Knife,100,100,0,-219.9464,0,False,False,True,256.9922,5.273438
PnX | CSGOmall.com,CounterTerrorist,2472.874,2055.074,126.2772,Knife,100,100,-2.468613,-236.8713,0,False,False,True,256.9922,5.273438
PnX | CSGOmall.com,CounterTerrorist,2472.102,2039.814,125.8548,Knife,100,100,-19.31059,-249.2531,0,False,False,True,256.6406,5.273438
PnX | CSGOmall.com,CounterTerrorist,2470.346,2024.313,125.3587,Knife,100,100,-42.2221,-243.9574,0,False,False,True,256.6406,5.625
PnX | CSGOmall.com,CounterTerrorist,2465.718,2009.94,124.8978,Knife,100,100,-96.38589,-220.2057,0,False,False,True,256.9922,6.328125
PnX | CSGOmall.com,CounterTerrorist,2458.231,1996.815,124.6614,Knife,100,100,-136.2156,-202.8158,0,False,False,True,256.9922,6.679688
PnX | CSGOmall.com,CounterTerrorist,2450.415,1983.399,124.3641,Knife,100,100,-116.3274,-221.287,0,False,False,True,256.6406,6.679688
PnX | CSGOmall.com,CounterTerrorist,2443.769,1969.262,124.1235,Knife,100,100,-99.33051,-229.4198,0,False,False,True,256.6406,7.03125
PnX | CSGOmall.com,CounterTerrorist,2438.025,1954.733,124.0239,Knife,100,100,-86.55138,-234.5397,0,False,False,True,257.6953,7.734375
PnX | CSGOmall.com,CounterTerrorist,2433,1939.939,124.0601,Knife,100,100,-75.87806,-238.2069,0,False,False,True,258.75,8.085938
PnX | CSGOmall.com,CounterTerrorist,2428.579,1924.954,123.9161,Knife,100,100,-67.01331,-240.851,0,False,False,True,259.8047,8.085938
PnX | CSGOmall.com,CounterTerrorist,2425.116,1911.728,123.8171,Knife,100,100,-60.71404,-242.5156,0,False,False,True,260.5078,8.085938
PnX | CSGOmall.com,CounterTerrorist,2421.117,1894.611,124.2471,Knife,100,100,-53.94709,-244.11,0,False,False,True,261.5625,8.085938
PnX | CSGOmall.com,CounterTerrorist,2417.455,1879.467,124.8543,Knife,100,100,-74.41515,-236.5714,0,False,False,True,262.6172,8.085938
PnX | CSGOmall.com,CounterTerrorist,2411.3,1865.233,125.2961,Knife,100,100,-115.1782,-221.7829,0,False,False,True,263.6719,8.4375
