Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1543.327,306.2558,-63.9688,Knife,100,100,116.7373,-221.0711,0,False,True,False,327.6563,4.921875
PnX | CSGOmall.com,Terrorist,-1536.623,292.1453,-63.9688,Knife,100,100,101.2766,-228.5674,0,False,True,False,330.8203,4.921875
PnX | CSGOmall.com,Terrorist,-1530.238,280.1607,-63.9688,Knife,100,100,132.6837,-209.4174,0,False,True,False,333.9844,4.570313
PnX | CSGOmall.com,Terrorist,-1521.108,276.3151,-63.9688,Knife,100,100,126.2378,-71.83531,0,False,True,False,336.7969,4.21875
PnX | CSGOmall.com,Terrorist,-1514.258,270.9342,-63.9688,Knife,100,100,129.3239,-111.8089,0,False,True,False,339.2578,4.21875
PnX | CSGOmall.com,Terrorist,-1503.421,263.2613,-63.9688,Knife,100,100,172.1728,-106.1863,0,False,True,False,343.4766,4.21875
PnX | CSGOmall.com,Terrorist,-1494.062,256.4507,-63.9688,Knife,100,100,169.1696,-138.2292,0,False,True,False,347.6953,4.21875
PnX | CSGOmall.com,Terrorist,-1482.185,245.5327,-55.96875,Knife,100,100,169.6943,-166.7443,0,False,True,False,352.6172,4.21875
PnX | CSGOmall.com,Terrorist,-1471.457,234.5421,-63.96876,Knife,100,100,172.5352,-180.9188,0,False,True,False,355.0781,4.21875
PnX | CSGOmall.com,Terrorist,-1460.716,227.4019,-63.96877,Knife,100,100,173.1955,-23.78754,0,False,True,False,356.1328,4.21875
