Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2419.252,1117.956,160.0313,USP,100,0,-231.1467,7.646711,0,False,False,False,239.7656,0.3515625
SK.xelos4s ;E,CounterTerrorist,2404.511,1117.4,157.7412,USP,100,0,-238.4308,-22.31294,0,False,False,False,250.3125,359.6484
SK.xelos4s ;E,CounterTerrorist,2389.919,1114.834,156.8213,USP,100,0,-221.3134,-63.19954,0,False,False,False,250.3125,359.6484
SK.xelos4s ;E,CounterTerrorist,2377.323,1108.942,155.9501,USP,100,0,-187.6445,-116.0791,0,False,False,False,250.3125,359.6484
SK.xelos4s ;E,CounterTerrorist,2366.478,1100.195,155.1326,Knife,100,0,-164.0244,-157.1437,0,False,False,False,249.6094,359.6484
SK.xelos4s ;E,CounterTerrorist,2356.811,1089.257,154.3875,Knife,100,0,-148.0741,-187.5844,0,False,False,False,249.2578,359.6484
SK.xelos4s ;E,CounterTerrorist,2348.105,1076.886,153.6236,USP,100,0,-130.7391,-201.2642,0,False,False,False,249.2578,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.417,1064.009,152.7199,USP,100,0,-117.5523,-209.2402,0,False,False,False,249.2578,359.6484
SK.xelos4s ;E,CounterTerrorist,2333.428,1050.738,151.8636,USP,100,0,-107.7748,-214.4402,0,False,False,False,249.6094,0
SK.xelos4s ;E,CounterTerrorist,2326.958,1037.206,151.0488,USP,100,0,-100.6131,-217.8922,0,False,False,False,249.9609,0
SK.xelos4s ;E,CounterTerrorist,2320.854,1023.504,150.5046,USP,100,0,-95.58932,-220.1424,0,False,False,False,249.9609,0
SK.xelos4s ;E,CounterTerrorist,2315.037,1009.678,150.0351,USP,100,0,-90.71062,-222.1972,0,False,False,False,252.7734,0
SK.xelos4s ;E,CounterTerrorist,2309.731,995.6498,149.4555,USP,100,0,-78.9453,-226.6443,0,False,False,False,262.2656,1.40625
SK.xelos4s ;E,CounterTerrorist,2305.414,981.2886,148.9648,USP,100,0,-61.27337,-232.0465,0,False,False,False,267.1875,2.8125
SK.xelos4s ;E,CounterTerrorist,2302.12,966.657,148.319,USP,100,0,-46.72994,-235.4067,0,False,False,False,267.1875,2.8125
SK.xelos4s ;E,CounterTerrorist,2299.582,951.8745,147.601,USP,100,0,-36.38147,-237.2264,0,False,False,False,267.1875,2.8125
SK.xelos4s ;E,CounterTerrorist,2297.565,937.0112,147.6835,USP,100,0,-29.62034,-238.1651,0,False,False,False,266.4844,2.8125
SK.xelos4s ;E,CounterTerrorist,2295.879,922.1066,147.7889,USP,100,0,-24.87415,-238.7075,0,False,False,False,267.5391,3.164063
SK.xelos4s ;E,CounterTerrorist,2294.48,907.172,147.8763,USP,100,0,-20.61012,-239.1134,0,False,False,False,267.8906,3.164063
SK.xelos4s ;E,CounterTerrorist,2293.31,892.2178,147.9374,USP,100,0,-17.3596,-239.3714,0,False,False,False,267.8906,3.164063
SK.xelos4s ;E,CounterTerrorist,2292.313,877.2509,147.9744,USP,100,0,-14.98523,-239.5317,0,False,False,False,267.8906,3.164063
SK.xelos4s ;E,CounterTerrorist,2291.787,862.3373,148.0026,USP,100,0,8.497265,-235.7643,0,False,False,False,268.2422,3.867188
SK.xelos4s ;E,CounterTerrorist,2294.093,847.9108,147.8321,USP,100,0,56.85978,-227.3257,0,False,False,False,268.5938,4.570313
SK.xelos4s ;E,CounterTerrorist,2296.343,833.7828,147.6657,USP,100,0,3.897782,-207.1652,0,False,False,False,268.5938,4.570313
SK.xelos4s ;E,CounterTerrorist,2293.841,822.9121,147.8188,USP,100,0,-70.8664,-150.5961,0,False,False,False,268.5938,4.570313
SK.xelos4s ;E,CounterTerrorist,2287.39,815.0302,148.2378,USP,100,0,-125.9342,-108.9229,0,False,False,False,268.5938,4.570313
SK.xelos4s ;E,CounterTerrorist,2279.281,809.3146,148.7693,USP,100,0,-107.3082,-79.79081,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2276.323,805.0541,148.9586,USP,100,0,-5.117429,-59.60833,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2278.724,801.9921,148.7975,USP,100,0,68.88208,-42.34608,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2282.717,799.7591,148.5297,USP,100,0,25.90549,-29.93693,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2281.409,798.561,148.6151,USP,100,0,-50.7536,-13.03962,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2276.144,797.8007,148.9639,USP,100,0,-105.8545,-20.23975,0,False,False,False,269.2969,4.570313
SK.xelos4s ;E,CounterTerrorist,2268.609,794.8444,149.4607,USP,100,0,-130.9174,-66.26423,0,False,False,False,268.9453,4.570313
SK.xelos4s ;E,CounterTerrorist,2261.591,788.6375,149.9192,USP,100,0,-100.1173,-122.4605,0,False,False,False,265.0781,4.570313
SK.xelos4s ;E,CounterTerrorist,2255.866,779.4983,150.2884,USP,100,0,-88.02161,-162.4373,0,False,False,False,253.4766,3.867188
SK.xelos4s ;E,CounterTerrorist,2250.213,768.4055,150.752,USP,100,0,-94.36463,-187.1039,0,False,False,False,242.2266,2.109375
SK.xelos4s ;E,CounterTerrorist,2243.847,756.1915,151.5229,USP,100,0,-107.6706,-200.9236,0,False,False,False,238.0078,2.109375
SK.xelos4s ;E,CounterTerrorist,2236.74,743.2859,152.3842,USP,100,0,-117.3164,-209.3726,0,False,False,False,238.3594,2.109375
SK.xelos4s ;E,CounterTerrorist,2229.319,730.2496,153.2838,USP,100,0,-119.6962,-208.0212,0,False,False,False,238.3594,2.109375
SK.xelos4s ;E,CounterTerrorist,2221.777,717.2839,154.1986,USP,100,0,-121.2889,-207.0966,0,False,False,False,238.711,2.109375
SK.xelos4s ;E,CounterTerrorist,2214.175,704.353,155.1208,USP,100,0,-121.7424,-206.8303,0,False,False,False,239.4141,2.109375
SK.xelos4s ;E,CounterTerrorist,2206.588,691.4131,156.0411,USP,100,0,-120.9275,-207.3078,0,False,False,False,240.8203,2.8125
SK.xelos4s ;E,CounterTerrorist,2199.09,678.4216,156.9503,USP,100,0,-119.0479,-208.3929,0,False,False,False,242.2266,3.515625
SK.xelos4s ;E,CounterTerrorist,2191.76,665.3348,160.0313,USP,100,0,-115.5354,-210.3606,0,False,False,False,245.0391,4.570313
SK.xelos4s ;E,CounterTerrorist,2184.772,652.0629,160.0313,USP,100,0,-108.436,-214.1066,0,False,False,False,249.2578,5.273438
SK.xelos4s ;E,CounterTerrorist,2178.158,638.5996,160.0313,USP,100,0,-105.9597,-215.3429,0,False,False,False,239.7656,7.03125
SK.xelos4s ;E,CounterTerrorist,2171.843,624.9956,171.0955,USP,100,0,-99.50236,-218.4016,267.6184,False,False,False,215.1563,6.679688
SK.xelos4s ;E,CounterTerrorist,2165.624,611.3457,186.2592,USP,100,0,-99.50236,-218.4016,217.6184,False,False,False,211.6406,7.382813
SK.xelos4s ;E,CounterTerrorist,2159.499,597.6463,198.2979,USP,100,0,-87.5291,-224.7365,167.6184,False,False,False,242.2266,9.492188
SK.xelos4s ;E,CounterTerrorist,2157.355,582.9009,207.2116,USP,100,0,-8.669412,-236.258,117.6184,False,False,False,283.0078,10.19531
SK.xelos4s ;E,CounterTerrorist,2156.814,568.1348,213.0003,USP,100,0,-8.669412,-236.258,67.61838,False,False,False,291.4453,8.085938
SK.xelos4s ;E,CounterTerrorist,2156.172,553.3655,215.664,USP,100,0,-17.30581,-236.4385,17.61838,False,False,False,269.2969,5.976563
SK.xelos4s ;E,CounterTerrorist,2152.831,539.1553,215.2027,USP,100,0,-104.8964,-210.1207,-32.38162,False,False,False,248.9063,3.515625
SK.xelos4s ;E,CounterTerrorist,2144.972,526.5878,211.6163,USP,100,0,-127.8514,-200.1039,-82.38162,False,False,False,245.0391,2.8125
SK.xelos4s ;E,CounterTerrorist,2138.606,513.4088,204.905,USP,100,0,-75.87497,-221.6099,-132.3816,False,False,False,247.5,2.460938
SK.xelos4s ;E,CounterTerrorist,2133.864,499.5582,195.0687,USP,100,0,-75.87497,-221.6099,-182.3816,False,False,False,247.5,2.460938
SK.xelos4s ;E,CounterTerrorist,2129.122,485.7076,182.1074,USP,100,0,-75.87497,-221.6099,-232.3816,False,False,False,246.4453,1.757813
SK.xelos4s ;E,CounterTerrorist,2124.379,471.8571,166.0211,USP,100,0,-75.87497,-221.6099,-282.3816,False,False,False,246.4453,1.054688
SK.xelos4s ;E,CounterTerrorist,2120.371,460.414,160.0313,USP,100,0,-63.46862,-174.2885,0,False,False,False,246.0938,1.054688
SK.xelos4s ;E,CounterTerrorist,2116.057,449.0478,160.0313,USP,100,0,-73.22938,-187.8801,0,False,False,False,246.0938,1.757813
SK.xelos4s ;E,CounterTerrorist,2111.146,436.805,160.0313,USP,100,0,-82.69946,-202.2273,0,False,False,False,245.7422,1.757813
SK.xelos4s ;E,CounterTerrorist,2105.669,423.6626,160.0313,USP,100,0,-91.15099,-216.0581,0,False,False,False,245.7422,1.757813
SK.xelos4s ;E,CounterTerrorist,2099.802,409.9132,160.0313,USP,100,0,-94.76991,-220.4964,0,False,False,False,245.7422,1.757813
SK.xelos4s ;E,CounterTerrorist,2093.833,396.1515,160.0313,USP,100,0,-95.98313,-219.971,0,False,False,False,245.7422,2.109375
