Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,164.8828,4.921875
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.7734,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,162.0703,5.625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,161.3672,5.976563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,161.3672,8.085938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,178.5938,9.84375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,206.3672,9.84375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,226.7578,11.60156
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,226.7578,11.60156
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,226.7578,11.60156
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,226.7578,11.60156
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,243.2813,11.60156
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,262.2656,10.54688
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,271.7578,8.085938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.4609,8.085938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.4609,8.085938
