Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,344.5313,26.01563
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,346.6406,27.42188
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,347.6953,28.125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,348.3984,28.47656
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,348.3984,28.47656
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,348.3984,28.47656
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,347.6953,28.82813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,346.9922,29.17969
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,347.3438,29.17969
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,347.3438,29.17969
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,347.3438,29.17969
