Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.59375,18.98438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,85.42969,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,79.80469,17.92969
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,76.28906,17.57813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,75.9375,17.57813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,75.9375,17.57813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,78.75,17.57813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,85.78125,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,92.10938,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,92.46094,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,92.46094,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,92.46094,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,91.40625,20.03906
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,91.05469,20.39063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,90.70313,21.09375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,90.35156,21.44531
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,90,21.79688
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,89.64844,22.14844
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,89.64844,22.85156
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,89.64844,23.55469
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,100,0,0,0,False,True,True,89.29688,24.25781
PnX | CSGOmall.com,CounterTerrorist,2361.013,2009.062,126.1587,Knife,100,100,0.5450174,43.43408,0,False,True,True,89.29688,24.60938
PnX | CSGOmall.com,CounterTerrorist,2361.068,2013.204,126.546,Knife,100,100,1.350999,99.29906,0,False,True,True,89.29688,25.3125
PnX | CSGOmall.com,CounterTerrorist,2361.202,2022.484,127.4126,Knife,100,100,2.331037,155.2793,0,False,True,True,88.94531,26.01563
PnX | CSGOmall.com,CounterTerrorist,2361.375,2033.508,128.4406,Knife,100,100,3.105284,191.1972,0,False,True,True,88.94531,27.42188
PnX | CSGOmall.com,CounterTerrorist,2361.599,2046.429,129.6435,Knife,100,100,4.030522,217.6452,0,False,True,True,88.59375,29.88281
PnX | CSGOmall.com,CounterTerrorist,2361.895,2060.747,130.1464,Knife,100,100,5.299534,237.1103,0,False,True,True,88.24219,34.45313
PnX | CSGOmall.com,CounterTerrorist,2362.279,2076.08,130.1085,Knife,100,100,6.802982,249.9074,0,False,True,True,87.53906,39.02344
PnX | CSGOmall.com,CounterTerrorist,2362.749,2091.698,129.9325,Knife,100,100,8.078911,249.8694,0,False,True,True,87.1875,43.94531
PnX | CSGOmall.com,CounterTerrorist,2363.294,2107.314,129.6141,Knife,100,100,9.162074,249.8321,0,False,True,True,87.1875,47.46093
PnX | CSGOmall.com,CounterTerrorist,2363.778,2120.511,129.3427,Knife,100,100,6.748383,184.0154,0,False,True,True,87.89063,50.625
PnX | CSGOmall.com,CounterTerrorist,2364.078,2128.674,129.1747,Knife,100,100,4.103598,109.2387,0,False,True,True,88.24219,53.08593
PnX | CSGOmall.com,CounterTerrorist,2364.2,2131.422,129.1143,Knife,100,100,-0.289945,-11.0226,0,False,True,True,88.59375,54.84375
PnX | CSGOmall.com,CounterTerrorist,2364.121,2128.448,129.1743,Knife,100,100,-2.043941,-75.99892,0,False,True,True,88.59375,55.19531
PnX | CSGOmall.com,CounterTerrorist,2363.939,2121.613,129.3081,Knife,100,100,-3.51144,-132.789,0,False,True,True,88.59375,54.84375
PnX | CSGOmall.com,CounterTerrorist,2363.689,2111.777,129.4995,Knife,100,100,-4.269012,-174.6258,0,False,True,True,88.94531,53.4375
PnX | CSGOmall.com,CounterTerrorist,2363.409,2099.731,129.7312,Knife,100,100,-4.649734,-205.4447,0,False,True,True,88.94531,50.625
