Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,122.6953,9.140625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,122.6953,9.140625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,122.6953,9.140625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,122.6953,9.140625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,121.6406,8.789063
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,118.4766,8.4375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,117.7734,8.4375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,117.4219,8.4375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,117.4219,8.4375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,117.0703,8.4375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,115.3125,8.789063
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,113.9063,9.140625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,112.8516,9.492188
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,112.1484,9.492188
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,110.0391,9.492188
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,104.7656,10.54688
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,100.8984,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,99.84375,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,101.25,11.60156
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,105.8203,10.89844
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,110.3906,10.19531
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
