Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,253.125,4.21875
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,248.9063,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,244.6875,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,242.2266,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,242.2266,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,242.2266,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,HE,100,100,0,0,0,False,True,False,242.2266,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,HE,100,100,0,0,0,False,True,False,242.9297,4.570313
ALEX* ;x,Terrorist,-1542,471,-63.96877,Flash,100,100,0,0,0,False,True,False,245.0391,4.921875
ALEX* ;x,Terrorist,-1542.277,470.3513,-63.96877,Flash,100,100,-13.41517,-31.71613,0,False,True,False,247.5,5.273438
ALEX* ;x,Terrorist,-1544.204,465.5439,-63.96877,Flash,100,100,-37.67585,-96.88212,0,False,True,False,250.3125,5.976563
ALEX* ;x,Terrorist,-1546.696,458.9286,-63.96877,Flash,100,100,-50.8121,-137.5347,0,False,True,False,251.0156,6.328125
ALEX* ;x,Terrorist,-1550.771,447.5981,-63.96877,Knife,100,100,-62.97229,-178.0057,0,False,True,False,251.7188,6.679688
ALEX* ;x,Terrorist,-1554.974,435.5125,-63.96877,Knife,100,100,-70.06387,-204.208,0,False,True,False,252.4219,6.328125
ALEX* ;x,Terrorist,-1558.916,423.7744,-63.96877,Knife,100,100,-73.09116,-221.9066,0,False,True,False,254.5313,6.328125
ALEX* ;x,Terrorist,-1564.004,407.4393,-63.96877,Knife,100,100,-70.67168,-239.8031,0,False,True,False,259.1016,6.679688
ALEX* ;x,Terrorist,-1568.076,392.3555,-63.96877,Knife,100,100,-60.41645,-242.5899,0,False,True,False,263.3203,7.03125
ALEX* ;x,Terrorist,-1571.05,379.0121,-63.96877,Knife,100,100,-49.70857,-245.0083,0,False,True,False,266.8359,7.03125
ALEX* ;x,Terrorist,-1573.384,361.8216,-63.96877,Knife,100,100,-5.64942,-240.235,0,False,True,False,272.4609,7.03125
ALEX* ;x,Terrorist,-1571.513,347.33,-63.96877,Knife,100,100,55.97293,-224.6883,0,False,True,False,279.8438,6.679688
ALEX* ;x,Terrorist,-1567.002,335.5663,-63.96877,Knife,100,100,101.3133,-207.4797,0,False,True,False,286.5234,7.382813
ALEX* ;x,Terrorist,-1559.124,320.8283,-63.96877,Knife,100,100,113.783,-217.2474,0,False,True,False,297.0703,8.085938
ALEX* ;x,Terrorist,-1551.737,307.0993,-63.96877,Knife,100,100,121.8896,-218.2726,0,False,True,False,306.9141,8.085938
ALEX* ;x,Terrorist,-1544.698,295.3813,-63.96877,Knife,100,100,134.583,-210.6832,0,False,True,False,315,7.734375
ALEX* ;x,Terrorist,-1534.452,281.1074,-63.96877,Knife,100,100,154.9951,-196.1543,0,False,True,False,323.7891,7.382813
ALEX* ;x,Terrorist,-1524.102,269.5429,-63.96877,Knife,100,100,171.1051,0,0,False,True,False,331.5234,7.382813
ALEX* ;x,Terrorist,-1515.293,267.4551,-63.96877,Knife,100,100,155.4776,-63.87167,0,False,True,False,338.9063,6.679688
ALEX* ;x,Terrorist,-1504.683,264.7883,-63.96877,Knife,100,100,148.1169,-9.749243,0,False,True,False,342.0703,6.328125
ALEX* ;x,Terrorist,-1496.704,263.6185,-63.96877,Knife,100,100,144.3832,-36.85772,0,False,True,False,342.0703,6.328125
ALEX* ;x,Terrorist,-1487.798,262.2247,-63.96877,Knife,100,100,141.1768,-9.749243,0,False,True,False,342.0703,6.328125
