Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1475.44,629.8018,126.4434,MP7,100,0,-94.65354,88.13934,0,False,False,False,186.6797,2.109375
[R] NillE ;-),CounterTerrorist,1468.898,632.5118,126.0178,MP7,100,0,-111.6406,11.86756,0,False,False,False,186.6797,1.757813
[R] NillE ;-),CounterTerrorist,1461.522,631.1704,125.1228,MP7,100,0,-116.8988,-46.42377,0,False,False,False,186.6797,1.757813
[R] NillE ;-),CounterTerrorist,1455.643,626.2528,124.0823,MP7,100,0,-78.03057,-101.3274,0,False,False,False,186.6797,1.757813
[R] NillE ;-),CounterTerrorist,1451.802,618.4331,123.1564,MP7,100,0,-50.24685,-141.8586,0,False,False,False,184.9219,1.757813
[R] NillE ;-),CounterTerrorist,1449.266,608.4598,123.0519,MP7,100,0,-34.7403,-172.0442,0,False,False,False,180,1.757813
[R] NillE ;-),CounterTerrorist,1447.367,596.8895,123.0304,MP7,100,0,-27.91701,-194.2898,0,False,False,False,176.8359,1.757813
[R] NillE ;-),CounterTerrorist,1445.715,584.1494,122.9124,MP7,100,0,-25.72673,-210.5224,0,False,False,False,175.0781,1.757813
[R] NillE ;-),CounterTerrorist,1444.117,570.6163,122.7593,MP7,100,0,-25.46117,-218.5217,0,False,False,False,173.6719,2.109375
[R] NillE ;-),CounterTerrorist,1442.518,556.9595,122.5127,MP7,100,0,-25.83483,-218.4778,0,False,False,False,172.6172,2.109375
[R] NillE ;-),CounterTerrorist,1440.869,543.3088,122.0678,MP7,100,0,-26.80461,-218.361,0,False,False,False,172.2656,2.109375
[R] NillE ;-),CounterTerrorist,1439.164,529.665,121.3713,MP7,100,0,-27.72529,-218.246,0,False,False,False,171.9141,2.109375
[R] NillE ;-),CounterTerrorist,1437.431,516.0248,138.4881,MP7,100,0,-27.72529,-218.246,248.8684,False,False,False,171.5625,2.109375
[R] NillE ;-),CounterTerrorist,1435.699,502.3845,152.4799,MP7,100,0,-27.72529,-218.246,198.8684,False,False,False,170.8594,2.8125
[R] NillE ;-),CounterTerrorist,1433.966,488.7441,172.3468,MP7,100,0,-27.72529,-218.246,148.8684,False,False,False,169.4531,3.164063
[R] NillE ;-),CounterTerrorist,1432.234,475.1038,180.0886,MP7,100,0,-27.72529,-218.246,98.86838,False,False,False,168.3984,3.867188
[R] NillE ;-),CounterTerrorist,1430.502,461.4634,184.7054,MP7,100,0,-27.72529,-218.246,48.86838,False,False,False,168.0469,3.867188
[R] NillE ;-),CounterTerrorist,1428.769,447.823,186.1972,MP7,100,0,-27.72529,-218.246,-1.131622,False,False,False,167.3438,3.867188
[R] NillE ;-),CounterTerrorist,1427.037,434.1826,184.564,MP7,100,0,-27.72529,-218.246,-51.13162,False,False,False,166.9922,4.21875
[R] NillE ;-),CounterTerrorist,1425.304,420.5422,179.8059,MP7,100,0,-27.72529,-218.246,-101.1316,False,False,False,166.2891,4.21875
[R] NillE ;-),CounterTerrorist,1423.572,406.9019,171.9227,MP7,100,0,-27.72529,-218.246,-151.1316,False,False,False,165.5859,4.21875
[R] NillE ;-),CounterTerrorist,1421.839,393.2615,160.9145,MP7,100,0,-27.72529,-218.246,-201.1316,False,False,False,164.8828,3.515625
[R] NillE ;-),CounterTerrorist,1420.107,379.6211,146.7813,MP7,100,0,-27.72529,-218.246,-251.1316,False,False,False,164.5313,3.515625
[R] NillE ;-),CounterTerrorist,1418.375,365.9807,129.5231,USP,100,0,-27.72529,-218.246,-301.1316,False,False,False,164.5313,3.515625
[R] NillE ;-),CounterTerrorist,1416.916,357.4185,120.0172,USP,100,0,-20.25374,-55.62067,0,True,False,False,167.6953,3.515625
