Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,1881.952,1665.333,160.0313,Knife,100,98,-69.42162,-240.1679,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1877.752,1650.509,160.0313,Knife,100,98,-62.61621,-222.9764,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1874.445,1638.73,160.0313,Knife,100,98,-46.12036,-164.2347,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1872.169,1630.627,160.0313,Knife,100,98,-30.16418,-107.4147,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1870.596,1625.035,160.0313,Knife,100,98,-19.6048,-68.49614,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1870.336,1624.35,160.0313,Knife,100,98,6.381577,26.25183,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1871.334,1628.167,160.0313,Knife,100,98,28.59544,84.05418,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1875.268,1634.004,160.0313,Knife,100,98,88.06412,93.41544,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1882.66,1638.265,160.0313,Knife,100,98,139.4773,50.45024,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1892.312,1639.586,160.0313,Knife,100,98,156.6356,-10.53486,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1902.047,1636.616,160.0313,Knife,100,98,155.1511,-73.49826,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.422,1631.531,160.0313,Knife,100,98,98.1381,-90.15852,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1911.861,1627.46,160.0313,Knife,100,98,-2.711753,-46.57733,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1910.159,1625.49,160.0313,Knife,100,98,-19.88901,-19.1716,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.486,1624.841,160.0313,AK47,100,98,-3.68963,-3.556542,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.473,1624.828,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,4.21875
PnX | CSGOmall.com,Terrorist,1909.401,1624.845,160.0313,AK47,100,98,-9.155478,2.157495,0,False,True,False,256.6406,4.21875
PnX | CSGOmall.com,Terrorist,1907.024,1625.403,160.0313,AK47,100,98,-60.51757,14.17818,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1901.5,1626.693,160.0313,AK47,100,98,-108.4096,25.23124,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1895.963,1627.982,160.0313,AK47,100,98,-51.86217,12.14071,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1895.812,1628.023,160.0313,AK47,100,98,26.91455,-6.156199,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1899.301,1627.223,160.0313,AK47,100,98,78.32506,-17.96813,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1905.804,1625.731,160.0313,AK47,100,98,122.0958,-28.02064,0,False,True,False,256.9922,4.21875
PnX | CSGOmall.com,Terrorist,1912.787,1624.13,160.0313,AK47,100,98,77.78539,-17.69174,0,False,True,False,256.6406,3.867188
PnX | CSGOmall.com,Terrorist,1914.335,1623.8,160.0313,AK47,100,98,-12.13054,3.127072,0,False,True,False,256.2891,3.867188
PnX | CSGOmall.com,Terrorist,1914.168,1623.843,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,3.867188
PnX | CSGOmall.com,Terrorist,1914.168,1623.843,160.0313,AK47,100,98,0,0,0,False,True,False,256.2891,3.515625
PnX | CSGOmall.com,Terrorist,1913.804,1623.932,160.0313,AK47,100,98,-21.94581,5.372069,0,False,True,False,256.2891,3.164063
PnX | CSGOmall.com,Terrorist,1911.203,1624.568,160.0313,AK47,100,98,-66.78696,16.31144,0,False,True,False,256.2891,2.8125
PnX | CSGOmall.com,Terrorist,1904.405,1626.218,160.0313,AK47,100,98,-118.1799,28.5305,0,False,True,False,256.6406,2.460938
PnX | CSGOmall.com,Terrorist,1895.8,1628.282,160.0313,AK47,100,98,-151.3658,36.16719,0,False,True,False,256.6406,2.109375
PnX | CSGOmall.com,Terrorist,1888.168,1630.099,160.0313,AK47,100,98,-170.3894,40.50336,0,False,True,False,256.6406,1.757813
PnX | CSGOmall.com,Terrorist,1875.502,1633.106,160.0313,AK47,100,98,-116.751,27.6797,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1871.749,1633.989,160.0313,AK47,100,98,-18.08105,4.107568,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1872.006,1633.924,160.0313,AK47,100,98,0,0,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1872.006,1633.924,160.0313,AK47,100,98,0,0,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1871.959,1633.731,160.0313,AK47,100,98,-3.741604,-15.55636,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1871.292,1630.955,160.0313,AK47,100,98,-16.07721,-66.84375,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1869.878,1625.078,160.0313,AK47,100,98,-27.25276,-113.308,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1868.16,1620.031,160.0313,AK47,100,98,-33.07573,0,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1864.88,1619.493,160.0313,AK47,100,98,-66.59708,-22.28974,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1860.204,1616.397,160.0313,AK47,100,98,-73.33871,-74.06058,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1855.767,1610.125,160.0313,AK47,100,98,-69.32299,-118.8335,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1852.062,1602.673,160.0313,AK47,100,98,-66.68737,-148.2189,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1847.597,1591.115,160.0313,AK47,100,98,-52.91797,-174.9695,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1846.074,1579.806,160.0313,AK47,100,98,-4.343823,-185.1525,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1846.815,1569.455,160.0313,AK47,100,98,20.42804,-192.9755,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1847.332,1556.9,160.0313,AK47,100,98,-0.2584874,-206.421,0,False,True,False,256.6406,1.40625
PnX | CSGOmall.com,Terrorist,1846.624,1541.981,160.0313,AK47,100,98,-16.98695,-214.3279,0,False,True,False,256.2891,1.40625
PnX | CSGOmall.com,Terrorist,1845.71,1528.61,160.0313,AK47,100,98,-0.8594775,-213.8915,0,False,True,False,256.2891,1.757813
PnX | CSGOmall.com,Terrorist,1846.913,1515.262,160.0313,AK47,100,98,33.14691,-212.4295,0,False,True,False,255.5859,1.757813
PnX | CSGOmall.com,Terrorist,1849.684,1502.116,160.0313,AK47,100,98,42.53912,-210.7497,0,False,True,False,254.5313,1.757813
PnX | CSGOmall.com,Terrorist,1852.344,1488.944,177.1481,AK47,100,98,42.53912,-210.7497,248.8684,False,True,False,252.4219,2.109375
PnX | CSGOmall.com,Terrorist,1855.003,1475.772,191.1399,AK47,100,98,42.53912,-210.7497,198.8684,False,True,False,249.6094,2.460938
PnX | CSGOmall.com,Terrorist,1857.662,1462.6,202.0067,AK47,100,98,42.53912,-210.7497,148.8684,False,True,False,246.4453,2.8125
PnX | CSGOmall.com,Terrorist,1860.321,1449.429,209.7485,AK47,100,98,42.53912,-210.7497,98.86838,False,True,False,243.2813,2.8125
PnX | CSGOmall.com,Terrorist,1862.98,1436.257,214.3654,AK47,100,98,42.53912,-210.7497,48.86838,False,True,False,240.1172,3.164063
PnX | CSGOmall.com,Terrorist,1865.639,1423.085,215.8572,AK47,100,98,42.53912,-210.7497,-1.131622,False,True,False,237.6563,3.164063
PnX | CSGOmall.com,Terrorist,1867.966,1411.559,214.599,AK47,100,98,42.53912,-210.7497,-44.88162,False,True,False,236.25,3.164063
PnX | CSGOmall.com,Terrorist,1870.958,1396.741,209.4658,AK47,100,98,42.53912,-210.7497,-101.1316,False,True,False,234.8437,3.164063
PnX | CSGOmall.com,Terrorist,1871.969,1386.862,203.8464,AK47,100,98,0,-210.7497,-138.6316,False,True,False,233.0859,3.164063
PnX | CSGOmall.com,Terrorist,1871.969,1370.397,190.5744,AK47,100,98,0,-210.7497,-201.1316,False,True,False,231.3281,3.164063
PnX | CSGOmall.com,Terrorist,1871.969,1357.225,176.4413,AK47,100,98,0,-210.7497,-251.1316,False,True,False,229.2188,2.8125
PnX | CSGOmall.com,Terrorist,1871.969,1344.47,160.0313,AK47,100,98,0,-157.422,0,False,True,False,226.4063,2.8125
PnX | CSGOmall.com,Terrorist,1871.969,1336.154,160.0313,AK47,100,98,0,-115.9502,0,False,True,False,222.5391,3.164063
PnX | CSGOmall.com,Terrorist,1871.969,1330.029,160.0313,AK47,100,98,0,-85.40382,0,False,True,False,219.7266,3.515625
PnX | CSGOmall.com,Terrorist,1871.969,1325.53,160.0313,AK47,100,98,0,-62.046,0,False,True,False,217.2656,4.21875
PnX | CSGOmall.com,Terrorist,1871.969,1322.443,160.0313,AK47,100,98,0,-39.546,0,False,True,False,215.5078,4.21875
PnX | CSGOmall.com,Terrorist,1871.969,1320.762,160.0313,AK47,100,98,0,-17.046,0,False,True,False,215.8594,4.21875
PnX | CSGOmall.com,Terrorist,1870.582,1319.174,160.0313,AK47,100,98,-42.16488,-37.85921,0,False,True,False,217.2656,3.164063
PnX | CSGOmall.com,Terrorist,1866.479,1315.743,160.0313,AK47,100,98,-82.71666,-67.40988,0,False,True,False,217.6172,2.460938
PnX | CSGOmall.com,Terrorist,1860.214,1310.679,160.0313,AK47,100,98,-109.9432,-92.70691,0,False,True,False,217.2656,1.40625
PnX | CSGOmall.com,Terrorist,1854.043,1303.382,160.0313,AK47,100,98,-91.49354,-133.5127,0,False,True,False,214.1016,1.054688
PnX | CSGOmall.com,Terrorist,1850.5,1294.275,160.0313,AK47,100,98,-33.0944,-154.7961,0,False,True,False,209.1797,1.054688
PnX | CSGOmall.com,Terrorist,1849.835,1283.928,160.0313,AK47,100,98,4.12766,-173.6007,0,False,True,False,203.2031,1.40625
PnX | CSGOmall.com,Terrorist,1850.893,1272.481,160.0313,AK47,100,98,24.87314,-190.2062,0,False,True,False,196.875,1.40625
PnX | CSGOmall.com,Terrorist,1852.848,1260.093,160.0313,AK47,100,98,35.12235,-203.995,0,False,True,False,193.3594,1.40625
PnX | CSGOmall.com,Terrorist,1854.51,1250.231,160.0313,AK47,100,98,16.38423,-107.0789,0,False,True,False,193.0078,1.054688
PnX | CSGOmall.com,Terrorist,1854.693,1246.912,160.0313,AK47,100,98,-5.0388,-19.95673,0,False,True,False,203.5547,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.5313,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.8828,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,210.2344,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,210.9375,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,211.9922,0.703125
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,211.9922,1.054688
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,211.6406,1.40625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,210.5859,0.3515625
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.8828,358.9453
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.5313,357.5391
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.8828,356.8359
