Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1046.773,540.1393,-39.96875,Glock,100,0,230.8015,43.29594,0,False,False,False,22.14844,357.5391
SK.xelos4s ;E,Terrorist,-1032.086,541.3716,-39.96875,Glock,100,0,237.9288,3.139059,0,False,False,False,21.79688,356.8359
SK.xelos4s ;E,Terrorist,-1017.135,540.4907,-39.96875,Glock,100,0,238.5931,-25.94869,0,False,False,False,22.14844,356.8359
SK.xelos4s ;E,Terrorist,-1002.328,538.1197,-39.96875,Glock,100,0,235.5473,-46.016,0,False,False,False,23.20313,356.8359
SK.xelos4s ;E,Terrorist,-987.6898,534.8499,-39.96875,Glock,100,0,233.4781,-55.56961,0,False,False,False,27.77344,357.1875
SK.xelos4s ;E,Terrorist,-973.1357,531.2208,-39.96875,Glock,100,0,232.4322,-59.79351,0,False,False,False,27.77344,357.1875
SK.xelos4s ;E,Terrorist,-958.5292,528.5338,-39.96875,Glock,100,0,235.5814,-21.8357,0,False,False,False,26.71875,357.1875
SK.xelos4s ;E,Terrorist,-943.6635,528.5942,-31.96875,Glock,100,0,239.4005,16.95339,0,False,False,False,26.71875,356.8359
SK.xelos4s ;E,Terrorist,-928.7169,529.7917,-31.96875,Glock,100,0,239.8689,7.932251,0,False,False,False,26.71875,356.4844
SK.xelos4s ;E,Terrorist,-913.7297,529.3589,-31.96875,Glock,100,0,239.3801,-17.23845,0,False,False,False,26.36719,356.4844
SK.xelos4s ;E,Terrorist,-898.8305,527.6484,-31.96875,Glock,100,0,237.5658,-34.09507,0,False,False,False,27.77344,356.8359
SK.xelos4s ;E,Terrorist,-883.9529,526.3167,-31.96875,Glock,100,0,239.1133,-2.468664,0,False,False,False,28.125,356.8359
SK.xelos4s ;E,Terrorist,-868.9346,527.4775,-31.96875,Knife,100,0,241.9452,33.71288,0,False,False,False,28.125,356.8359
SK.xelos4s ;E,Terrorist,-853.7186,530.578,-31.96875,Knife,100,0,242.6194,60.29771,0,False,False,False,28.125,356.8359
SK.xelos4s ;E,Terrorist,-838.9484,534.8944,-31.96875,Glock,100,0,228.4907,73.43033,0,False,False,False,27.77344,356.8359
SK.xelos4s ;E,Terrorist,-824.8132,539.9097,-31.96875,Glock,100,0,224.4884,84.88195,0,False,False,False,27.42188,356.4844
SK.xelos4s ;E,Terrorist,-810.8816,545.4683,-31.96875,Glock,100,0,223.1767,88.27326,0,False,False,False,27.77344,356.4844
SK.xelos4s ;E,Terrorist,-796.5057,549.3263,-31.96875,Glock,100,0,234.8125,43.09283,0,False,False,False,27.77344,356.4844
SK.xelos4s ;E,Terrorist,-781.5994,550.7927,-31.96875,Glock,100,0,239.807,9.623208,0,False,False,False,27.77344,356.4844
SK.xelos4s ;E,Terrorist,-766.6025,550.6901,-31.96875,Glock,100,0,239.9968,1.238624,0,False,False,False,28.125,356.1328
