Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2438.709,2030.564,123.394,Knife,100,0,-39.91501,-44.37781,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2434.743,2026.156,123.1261,Knife,100,0,-80.35772,-89.31963,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2428.611,2019.34,122.7118,Knife,100,0,-110.5832,-122.9079,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2420.882,2010.75,122.7032,Knife,100,0,-132.846,-147.6475,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2413.143,2002.148,123.1485,Knife,100,0,-147.4576,-163.8847,0,False,False,False,228.1641,3.515625
PnX | CSGOmall.com,CounterTerrorist,2403.462,1991.397,123.7054,Knife,100,0,-160.2332,-177.6232,0,False,False,False,227.4609,3.164063
PnX | CSGOmall.com,CounterTerrorist,2393.072,1980,124.0117,Knife,100,0,-169.539,-183.7295,0,False,False,False,223.9453,2.460938
PnX | CSGOmall.com,CounterTerrorist,2392.117,1968.45,124.0308,Knife,100,0,-38.29247,-185.6341,0,False,False,False,219.7266,2.8125
PnX | CSGOmall.com,CounterTerrorist,2387.135,1955.472,123.9393,Knife,100,0,-94.52758,-183.2259,0,False,False,False,216.5625,3.164063
PnX | CSGOmall.com,CounterTerrorist,2381.905,1946.926,123.9011,Knife,100,0,-122.6749,-181.9304,0,False,False,False,217.9688,3.164063
PnX | CSGOmall.com,CounterTerrorist,2370.78,1932.74,123.8802,Knife,100,0,-156.6045,-181.3207,0,False,False,False,217.9688,3.164063
PnX | CSGOmall.com,CounterTerrorist,2360.305,1921.439,123.8696,Knife,100,0,-174.2004,-179.3159,0,False,False,False,217.9688,3.164063
PnX | CSGOmall.com,CounterTerrorist,2349.152,1910.497,124.4789,Knife,100,0,-181.479,-171.9458,0,False,False,False,217.2656,3.515625
PnX | CSGOmall.com,CounterTerrorist,2339.019,1901.32,125.1926,Knife,100,0,-188.3998,-164.3336,0,False,False,False,212.6953,3.515625
PnX | CSGOmall.com,CounterTerrorist,2326.902,1891.46,125.9519,Knife,100,0,-198.2807,-152.2655,0,False,False,False,207.0703,3.867188
PnX | CSGOmall.com,CounterTerrorist,2312.521,1881.359,125.9562,Knife,100,0,-209.3511,-136.646,0,False,False,False,202.5,4.570313
PnX | CSGOmall.com,CounterTerrorist,2299.136,1873.302,126.092,Knife,100,0,-217.5573,-123.1619,0,False,False,False,200.3906,4.570313
PnX | CSGOmall.com,CounterTerrorist,2287.072,1866.871,126.5446,Knife,100,0,-222.5996,-113.7955,0,False,False,False,200.3906,4.570313
PnX | CSGOmall.com,CounterTerrorist,2273.019,1860.044,127.0903,Knife,100,0,-226.3504,-106.139,0,False,False,False,200.3906,4.570313
PnX | CSGOmall.com,CounterTerrorist,2256.993,1852.821,127.0769,Knife,100,0,-228.9907,-100.3157,0,False,False,False,200.3906,4.570313
