Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,276.6797,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,273.8672,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,258.75,12.30469
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,235.5469,11.95313
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,221.8359,12.30469
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,219.375,14.0625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,220.0781,20.39063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,219.7266,37.61719
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,222.8906,54.49219
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,222.8906,60.82031
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,222.5391,61.17188
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,222.8906,60.82031
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,223.5938,57.30469
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,224.6484,45.70313
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,227.4609,31.64063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,229.2188,26.01563
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,229.9219,23.20313
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,230.2734,21.79688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,231.6797,21.09375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,234.8437,20.74219
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,239.4141,20.74219
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,245.7422,21.79688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,252.7734,23.90625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,258.3984,24.96094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,261.5625,25.3125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,264.375,26.01563
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,267.5391,29.17969
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,271.0547,34.10156
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,273.5156,36.91406
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,274.5703,37.61719
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,275.625,36.5625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,278.4375,32.69531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,283.0078,27.77344
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,287.9297,24.25781
