Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.4688,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,241.1719,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,245.3906,7.734375
