Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315,10.89844
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.3516,10.54688
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.3516,10.54688
