Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2222.722,2287.406,130.2274,Flash,100,0,-223.4633,100.4449,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2208.753,2293.678,130.8911,Flash,100,0,-223.5397,100.2747,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2194.779,2299.941,133.1799,Flash,100,0,-223.5959,100.1494,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2180.803,2306.197,135.288,Flash,100,0,-223.6372,100.057,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2166.825,2312.448,140.0313,Flash,100,0,-223.6676,99.98902,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2152.844,2318.695,140.0313,Flash,100,0,-223.69,99.93891,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2138.849,2324.906,140.0313,Flash,100,0,-225.615,95.51376,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2124.348,2328.962,140.0313,Flash,100,0,-236.4955,43.41239,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2109.357,2331.521,140.0313,Flash,100,0,-240.0076,49.20704,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2096.334,2334.662,140.0313,Flash,100,0,-236.7616,62.99943,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2079.833,2339.603,140.0313,Flash,100,0,-233.1338,75.32359,0,False,False,False,156.0938,13.00781
