Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,889.1174,69.21841,221.7354,AK47,100,100,36.61071,50.29809,-23.00662,False,True,False,294.9609,355.4297
PnX | CSGOmall.com,Terrorist,891.6915,72.75498,218.1401,AK47,100,100,36.61071,50.29809,-79.25662,False,True,False,294.9609,355.4297
PnX | CSGOmall.com,Terrorist,893.9796,75.8986,211.6241,AK47,100,100,36.61071,50.29809,-129.2566,False,True,False,294.6094,355.4297
PnX | CSGOmall.com,Terrorist,896.4545,80.09669,210.4733,AK47,100,100,45.85872,87.47774,0,False,True,False,291.4453,356.8359
PnX | CSGOmall.com,Terrorist,899.4222,85.94476,210.5598,AK47,100,100,60.53669,120.0341,0,False,True,False,287.9297,0.3515625
PnX | CSGOmall.com,Terrorist,904.3932,95.57956,211.3077,AK47,100,100,78.64056,148.7531,0,False,True,False,284.0625,6.679688
PnX | CSGOmall.com,Terrorist,909.3006,105.5931,211.8235,AK47,100,100,66.62707,170.3257,0,False,True,False,281.6016,12.30469
PnX | CSGOmall.com,Terrorist,912.0842,115.488,212.116,AK47,100,100,40.42347,188.2666,0,False,True,False,279.4922,16.17188
PnX | CSGOmall.com,Terrorist,913.8459,127.831,213.899,AK47,100,100,19.832,203.9959,0,False,True,False,278.0859,19.33594
PnX | CSGOmall.com,Terrorist,914.5656,140.9374,214.0001,AK47,100,100,6.737153,206.3795,0,False,True,False,278.0859,20.74219
PnX | CSGOmall.com,Terrorist,914.9588,152.9826,214.0554,AK47,100,100,4.776206,146.3097,0,False,True,False,278.0859,20.39063
PnX | CSGOmall.com,Terrorist,915.2841,159.169,214.1011,AK47,100,100,8.700632,76.76275,0,False,True,False,278.0859,19.6875
PnX | CSGOmall.com,Terrorist,916.042,160.4801,214.1793,AK47,100,100,9.167573,-20.49691,0,False,True,False,278.0859,19.6875
PnX | CSGOmall.com,Terrorist,915.993,157.5467,214.1828,AK47,100,100,-17.72065,-64.27979,0,False,True,False,278.0859,19.6875
PnX | CSGOmall.com,Terrorist,914.3466,152.9267,213.9693,AK47,100,100,-28.17351,-101.1732,0,False,True,False,279.1406,18.98438
PnX | CSGOmall.com,Terrorist,913.2294,144.0717,213.8123,AK47,100,100,-6.58046,-143.4885,0,False,True,False,281.6016,17.92969
PnX | CSGOmall.com,Terrorist,913.3281,135.4514,213.8262,AK47,100,100,7.737103,-167.2843,0,False,True,False,283.0078,17.22656
PnX | CSGOmall.com,Terrorist,914.4659,122.7706,212.3663,AK47,100,100,22.38128,-189.6197,0,False,True,False,283.7109,16.17188
PnX | CSGOmall.com,Terrorist,916.0172,112.0009,212.5294,AK47,100,100,33.13547,-201.7574,0,False,True,False,287.5781,15.46875
PnX | CSGOmall.com,Terrorist,919.0737,97.46303,212.8507,AK47,100,100,52.60751,-208.4645,0,False,True,False,298.125,14.76563
PnX | CSGOmall.com,Terrorist,922.2398,86.14097,213.0247,AK47,100,100,52.72702,-208.4343,0,False,True,False,304.1016,13.71094
PnX | CSGOmall.com,Terrorist,924.8084,71.25135,219.7817,AK47,100,100,30.40049,-212.8399,280.1184,False,True,False,296.0156,12.65625
PnX | CSGOmall.com,Terrorist,926.7083,57.94886,235.7265,AK47,100,100,30.40049,-212.8399,230.1184,False,True,False,283.3594,9.84375
PnX | CSGOmall.com,Terrorist,928.3707,46.30918,247.1148,AK47,100,100,30.40049,-212.8399,186.3684,False,True,False,288.9844,8.4375
PnX | CSGOmall.com,Terrorist,930.2706,33.00669,257.2002,AK47,100,100,30.40049,-212.8399,136.3684,False,True,False,316.4063,7.382813
PnX | CSGOmall.com,Terrorist,932.1705,19.7042,264.1606,AK47,100,100,30.40049,-212.8399,86.36838,False,True,False,341.3672,5.976563
PnX | CSGOmall.com,Terrorist,933.5955,9.727333,267.3302,AK47,100,100,30.40049,-212.8399,48.86838,False,True,False,349.4531,5.273438
PnX | CSGOmall.com,Terrorist,935.9703,-6.900782,277.7065,AK47,100,100,30.40049,-212.8399,-13.63162,False,True,False,350.5078,4.921875
PnX | CSGOmall.com,Terrorist,937.8702,-20.20327,275.292,AK47,100,100,30.40049,-212.8399,-63.63162,False,True,False,337.1484,4.21875
PnX | CSGOmall.com,Terrorist,940.0076,-35.16858,268.8403,AK47,100,100,30.40049,-212.8399,-119.8816,False,True,False,318.1641,0.3515625
PnX | CSGOmall.com,Terrorist,939.2315,-43.69223,261.0879,AK47,100,100,-84.44765,-66.08945,-163.6316,False,True,False,311.1328,357.8906
PnX | CSGOmall.com,Terrorist,935.4117,-46.70853,256.0313,AK47,100,100,-47.03079,-36.8067,0,False,True,False,309.7266,357.5391
PnX | CSGOmall.com,Terrorist,932.1791,-49.23837,256.0313,AK47,100,100,-45.13796,-35.32536,0,False,True,False,309.7266,357.8906
PnX | CSGOmall.com,Terrorist,929.7549,-51.13561,256.0313,AK47,100,100,-43.73583,-34.22804,0,False,True,False,309.375,357.8906
PnX | CSGOmall.com,Terrorist,927.0706,-53.23644,256.0313,AK47,100,100,-42.38991,-33.17471,0,False,True,False,308.3203,358.2422
PnX | CSGOmall.com,Terrorist,924.4587,-55.28048,256.0313,AK47,100,100,-41.37953,-32.38398,0,True,True,False,306.9141,358.9453
PnX | CSGOmall.com,Terrorist,921.5776,-57.53522,256.0313,AK47,100,100,-40.71616,-31.86482,0,True,True,False,305.5078,359.2969
PnX | CSGOmall.com,Terrorist,919.3603,-59.27051,256.0313,AK47,100,100,-40.43391,-31.64393,0,True,True,False,304.8047,359.6484
PnX | CSGOmall.com,Terrorist,916.4063,-61.58231,267.0954,AK47,100,100,-42.6386,-33.36934,267.6184,False,True,False,304.4531,0.3515625
PnX | CSGOmall.com,Terrorist,913.7241,-63.68124,282.259,AK47,100,100,-44.09857,-34.51192,217.6184,False,True,False,304.1016,2.109375
PnX | CSGOmall.com,Terrorist,910.755,-66.0048,294.2975,AK47,100,100,-50.19143,-39.28024,167.6184,False,True,False,304.1016,4.21875
PnX | CSGOmall.com,Terrorist,908.2385,-68.55676,299.0313,AK47,100,100,-30.77257,-53.80318,0,False,True,False,304.4531,5.625
PnX | CSGOmall.com,Terrorist,908.2668,-71.75611,299.0313,AK47,100,100,21.54711,-38.35528,0,False,True,False,306.2109,8.085938
PnX | CSGOmall.com,Terrorist,910.29,-73.56477,299.0313,AK47,100,100,47.51775,-30.03035,0,False,True,False,306.9141,10.19531
PnX | CSGOmall.com,Terrorist,914.7333,-75.50646,299.0313,AK47,100,100,75.29425,-26.44977,0,False,True,False,306.9141,10.19531
PnX | CSGOmall.com,Terrorist,919.421,-76.91557,299.0313,AK47,100,100,92.86141,-25.29795,0,False,True,False,306.9141,10.19531
PnX | CSGOmall.com,Terrorist,926.2922,-79.22678,299.0313,AK47,100,100,97.39696,-44.66693,0,False,True,False,306.9141,10.19531
PnX | CSGOmall.com,Terrorist,931.4167,-82.30457,299.0313,AK47,100,100,85.54221,-65.84623,0,False,True,False,309.0234,10.89844
PnX | CSGOmall.com,Terrorist,935.7404,-88.18635,299.0313,AK47,100,100,38.91284,-102.5468,0,False,True,False,343.4766,15.46875
PnX | CSGOmall.com,Terrorist,937.5379,-94.90447,299.0313,AK47,100,100,33.89684,-136.4431,0,False,True,False,17.22656,16.17188
PnX | CSGOmall.com,Terrorist,940.9561,-105.448,298.9824,AK47,100,100,60.08932,-155.9761,-9.375,False,True,False,42.1875,14.0625
PnX | CSGOmall.com,Terrorist,943.9688,-115.1966,296.834,AK47,100,100,0,-155.9761,-59.375,False,True,False,43.24219,13.00781
PnX | CSGOmall.com,Terrorist,943.9688,-123.7265,292.3906,AK47,100,100,0,-155.9761,-103.125,False,True,False,42.53906,12.65625
