Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,100,0,0,0,False,True,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,100,0,0,0,False,True,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,100,0,0,0,False,True,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,100,0,0,0,False,True,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,100,0,0,0,False,True,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,100,0,0,0,False,True,False,342.7734,345.2344
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,100,0,0,0,False,True,False,329.0625,351.2109
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,HE,100,100,0,0,0,False,True,False,310.7813,10.19531
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,HE,100,100,0,0,0,False,True,False,299.1797,28.47656
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,HE,100,100,0,0,0,False,True,False,294.2578,46.75781
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Flash,100,100,0,0,0,False,True,False,293.9063,58.71093
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Flash,100,100,0,0,0,False,True,False,293.5547,67.85156
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,293.2031,70.3125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,287.2266,68.90625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,253.125,61.875
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,222.5391,51.67969
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,200.7422,43.59375
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,190.5469,39.375
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,185.9766,38.32031
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,187.7344,38.67188
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,196.875,37.61719
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,223.5938,36.5625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,268.9453,35.85938
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,313.5938,30.58594
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,320.9766,26.71875
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,320.9766,26.71875
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,320.9766,26.71875
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,323.4375,25.66406
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,342.7734,22.5
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,353.6719,16.52344
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.1875,9.492188
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.5391,3.867188
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.1875,2.8125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.1875,2.8125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.1875,2.8125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,357.1875,2.8125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,359.6484,2.109375
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,2.460938,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,2.8125,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,2.8125,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,2.8125,359.6484
PnX | CSGOmall.com,Terrorist,-1710.974,505.8579,-63.96875,Smoke,100,100,-73.88889,-3.432567,0,False,True,False,2.460938,359.2969
PnX | CSGOmall.com,Terrorist,-1717.637,505.5584,-63.96875,Smoke,100,100,-129.6276,-5.706058,0,False,True,False,2.460938,358.5938
PnX | CSGOmall.com,Terrorist,-1725.915,505.209,-63.96875,Smoke,100,100,-166.2529,-6.77828,0,False,True,False,1.757813,357.8906
PnX | CSGOmall.com,Terrorist,-1739.031,504.7101,-63.96875,Smoke,100,100,-201.0221,-7.264281,0,False,True,False,1.757813,357.5391
PnX | CSGOmall.com,Terrorist,-1752.415,504.2486,-63.96875,Smoke,100,100,-223.3353,-7.468956,0,False,True,False,1.757813,357.5391
PnX | CSGOmall.com,Terrorist,-1766.977,503.7762,-63.96875,Smoke,100,100,-239.7702,-7.619711,0,False,True,False,1.757813,357.5391
PnX | CSGOmall.com,Terrorist,-1780.328,503.3594,-47.96875,Smoke,100,100,-244.8834,-7.55897,0,False,True,False,1.757813,357.5391
PnX | CSGOmall.com,Terrorist,-1797.547,502.8372,-47.96875,Smoke,100,100,-244.8904,-7.327802,0,False,True,False,1.40625,357.5391
