Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.6406,359.6484
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.5859,358.9453
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,1.757813
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,1.757813
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,1.757813
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,1.757813
[R] NillE ;-),Terrorist,-1606.525,505.0499,-63.96875,Knife,100,100,19.41202,-38.85859,0,False,True,False,296.3672,1.757813
[R] NillE ;-),Terrorist,-1604.676,501.3438,-63.96876,Knife,100,100,44.25022,-88.90449,0,False,True,False,296.0156,2.109375
[R] NillE ;-),Terrorist,-1601.12,494.1025,-63.96878,Knife,100,100,65.40203,-134.9601,0,False,True,False,294.2578,2.109375
[R] NillE ;-),Terrorist,-1595.927,483.0243,-63.96879,Knife,100,100,79.42365,-173.866,0,False,True,False,292.1484,2.460938
[R] NillE ;-),Terrorist,-1591.206,471.2059,-63.96879,Knife,100,100,58.4863,-199.6975,0,False,True,False,291.4453,2.8125
[R] NillE ;-),Terrorist,-1589.24,458.0688,-63.96879,Knife,100,100,12.45644,-217.5606,0,False,True,False,291.4453,2.8125
