Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Smoke,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Smoke,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,171.2109,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,152.9297,4.921875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,132.8906,7.03125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.4297,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.4297,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.4297,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,130.4297,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,130.4297,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,132.5391,6.328125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,133.5938,5.976563
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,133.5938,5.625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,133.9453,4.921875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,134.2969,4.570313
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,134.6484,3.515625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,134.6484,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,132.5391,0.3515625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.7813,358.5938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,130.7813,358.2422
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,131.1328,358.5938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,131.1328,358.9453
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,131.8359,359.6484
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,132.8906,1.40625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,133.2422,1.40625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,133.2422,1.40625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Knife,100,98,0,0,0,False,True,True,133.2422,1.40625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.2422,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,133.5938,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,134.2969,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,134.2969,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,134.2969,1.054688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,134.2969,1.40625
