Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.382813
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.5156,8.085938
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.1641,8.4375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.1641,8.4375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.1641,8.4375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.1641,8.4375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,272.4609,8.789063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,267.5391,8.789063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,261.9141,8.789063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,256.2891,8.4375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,248.5547,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,240.8203,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,236.25,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.5469,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,235.1953,6.679688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,230.625,5.976563
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,220.4297,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,212.3437,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,209.1797,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,209.1797,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,210.5859,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,214.4531,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,217.9688,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,219.7266,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,220.4297,4.21875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.1328,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.273438
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,USP,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,5.625
