PathName,NumFrames,Average dead reckoned error distance,DeadUpdates,Average led reckoned error distance,LedUpdates
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Reason Ga_Berzerk.player8.path6.csv,1425,8.73858390751596,241,9.93667989727392,236
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Reason Ga_Virtus Pr.player7.path18.csv,833,11.8297227816303,206,12.1573013544165,113
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_fnatic.player1.path28.csv,840,11.9599245836579,223,12.8261614011704,156
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_fnatic.player3.path13.csv,1369,13.4974969291905,280,14.6395999593658,180
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_fnatic.player5.path14.csv,447,10.4365670323779,103,11.4652745645408,48
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_fnatic.player5.path30.csv,447,8.02513372949838,51,10.1836871485083,79
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_fnatic.player7.path9.csv,1426,11.6755736776933,313,12.860898805495,210
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_HellRaise.player8.path27.csv,1170,10.5856975215357,251,12.3165351180423,232
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Team LDLC_USSR.player3.path2.csv,550,10.1893107288596,125,12.3673200464745,77
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_TitanCS_fnatic.player9.path22.csv,1217,13.2776821568014,350,15.4029668589689,314
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_USSR_OnlineBOT.player1.path37.csv,1063,11.5233642251963,242,14.3834081418292,221
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player0.path21.csv,1729,8.64622001937491,256,9.53536334444502,221
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player4.path22.csv,583,9.52324062124518,108,10.3629698500591,60
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player7.path17.csv,1244,12.7758051715253,305,14.8993244049215,299
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player8.path13.csv,1214,14.2148198604091,369,15.7438654881158,305
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player9.path17.csv,1041,11.5643526168687,235,13.1915762055869,183
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Virtus Pr_Berzerk.player9.path24.csv,935,11.8715633461777,231,14.6829288908211,233
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409475105.player0.path32.csv,1820,11.1909158977924,377,12.4639338185946,299
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409475105.player3.path30.csv,1684,12.8497960548964,410,14.8424109869798,284
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409475105.player5.path23.csv,446,6.8223443603642,46,8.27659292735443,29
